station_id,label,parameter,unit_name,qualifier
241961TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
1117,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
45232,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
48199,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E7055,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E7045,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
44200,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
058461,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
058461,rainfall-tipping_bucket_raingauge-i-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E4530,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
1339,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
564769,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
564769,rainfall-tipping_bucket_raingauge-t-15_min----,rainfall,---,Tipping Bucket Raingauge
43228,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E22255,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E23717,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
921083,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
47101,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
300874,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3602,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
49171,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
45101,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E9340,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E45871,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
43102,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3015,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
47167,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
277407TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E1815,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
270400TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E44121,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
47105,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E44111,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E24289,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
49149,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E871,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
1201,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E7155,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E12560,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
082672,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
52224,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E24935,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E45881,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
51127,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
